proposal_title,day1,day2,day3,day4,day5,day6,day7,total_voting_power
0xGen STIP Proposal - Round 1,3129350.743,1570653.854,1402897.454,5040682.72,1032829.117,2928026.123,97572550.83,112676990.8
AIP 1.05: Return 700M $ARB to the DAO Treasury [REAL],14336890.11,32848491.79,55003504.76,18653925.76,6579278.475,5598257.471,7834341.335,140854689.7
"AIP-1.1 - Lockup, Budget, Transparency",97765763.33,13046890.87,6435230,8454590.482,2426819.003,5657178.657,5836460.188,139622932.5
AIP-1.2 - Foundation and DAO Governance,96619917.44,12172317.13,7005259.722,8048741.401,3547617.949,5477230.115,5890492.291,138761576
AIP-1: Arbitrum Improvement Proposal Framework,0,11.39462582,9846220.828,5361910.995,14794008.36,81861994.7,19011041.19,130875187.5
ALAYA STIP Proposal - Round 1,5300466.583,600130.5398,2526685.248,2633567.931,12943812.93,4392770.909,89574686.67,117972120.8
Abracadabra DAO STIP Proposal - Round 1,18229029.47,17035469.28,40846633.54,2404671.127,36395811.46,11381844.83,78505066.09,204798525.8
Accelerating Arbitrum - leveraging Camelot as an ecosystem hub to support native builders,31505688.67,6703374.301,7602230.636,33466134.19,6888953.814,26966481.6,50978638.88,164111502.1
Angle Protocol STIP Proposal - Round 1,13605744.42,9370230.52,31758991.34,26427590.93,26590666.57,14216632.75,75364769.64,197334626.2
ApolloX STIP Proposal - Round 1,2529407.507,2172487.828,1412806.252,817451.2108,1036764.089,27825458.72,87671179.67,123465555.3
Arbidex STIP Proposal - Round 1,2634961.586,1477998.521,1526079.786,1370582.668,1363959.213,7121488.601,93269436.55,108764506.9
Arbitrum DAO Grants - Delegated Domain Allocation by Questbook,13372220.87,1937475.498,1507523.827,3908625.32,13529309.1,32884694,37406274.32,104546122.9
Archi Finance STIP Proposal - Round 1,3145218.906,1488010.899,1518170.869,826606.8474,1035676.56,19187415.28,82007340.2,109208439.6
Arrakis Finance STIP Proposal - Round 1,5952874.518,1614126.372,516400.576,7542060.95,23041991.35,27320381.75,74762995.71,140750831.2
Artichoke Protocol STIP Proposal - Round 1,4910843.557,563342.367,2175062.313,14763798.89,427097.3001,3158369.806,88565451.85,114563966.1
Balancer DAO STIP Proposal - Round 1,18930919.49,4200015.865,4926571.396,29330054.63,33152444,9847982.634,56409358.31,156797346.3
Beefy STIP Proposal - Round 1,4929793.941,610607.1557,11974249.42,4481042.831,13385458.62,11325817.51,76655488.15,123362457.6
CRYPTEX STIP Proposal - Round 1,3601002.179,2874322.611,1415864.444,16496230.05,10192756.84,2934063.313,88908826.63,126423066.1
CVI STIP Proposal - Round 1,4938696.052,550472.4969,1451070.367,2698981.079,417378.9422,15851673.09,85024467.14,110932739.2
Camelot STIP Proposal - Round 1,83785874.72,29688824.39,19120204.7,4744749.879,19999700.35,5693177.4,42096697.91,205129229.3
Chronos Finance STIP Proposal - Round 1,3648574.221,1571679.09,1410982.387,3145301.537,1025365.274,15137200.26,90262056.51,116201159.3
Cian STIP Proposal - Round 1,2713138.571,1502270.912,1403089.892,830250.2548,1015006.164,15919833.45,85427614.86,108811204.1
Consolidate Security Proposals into a RFP Process,6252605.753,15745213.16,36358350.87,20825717.8,30414461.61,4694532.722,73251948.54,187542830.5
Curve STIP Proposal - Round 1,14841322.55,1602667.354,1640964.723,4113722.083,17164766.96,15082952.52,81882042.23,136328438.4
D2.finance STIP Proposal - Round 1,6418081.599,893488.8657,1991983.42,2277313.925,13454727.09,4787802.313,87358527.85,117181925.1
DefiEdge STIP Proposal - Round 1,19556279.52,3107141.379,20219660.54,2723240.477,20778267.65,9246889.139,79279284.69,154910763.4
Dolomite STIP Proposal - Round 1,20380158.51,14615723.08,26536844.86,2690567.494,33739585.45,5003259.628,92409122.19,195375261.2
Dopex STIP Proposal - Round 1,47599705.64,17130378.94,39146234.07,34531048.69,32115416.99,5208377.392,24353296.33,200084458
Equilibria STIP Proposal - Round 1,3883935.252,5677565.921,494216.2815,2033830.122,18912189.09,20374090.09,80940914.01,132316740.8
Florence Finance STIP Proposal - Round 1,2455901.988,1572183.56,2089893.121,825317.0322,1927369.618,15601969.11,83942619.84,108415254.3
Frax Finance STIP Proposal - Round 1,42498179.81,5004007.04,25690759.46,11757115.84,24163747.26,6280555.889,69160945.51,184555310.8
Furucombo STIP Proposal - Round 1,20210367.93,3339053.071,2539126.726,5196931.115,12496844.79,33645845.38,63062500.15,140490669.2
GMD Ecosystem STIP Proposal - Round 1,5191707.258,733429.355,1854346.244,2654223.644,1179664.36,16313352.55,90999267.71,118925991.1
GMX STIP Proposal - Round 1,84965699.35,10645521.28,29284232.69,3205944.604,20237109.89,10335349.29,36734617.55,195408474.7
Gains Network STIP Proposal - Round 1,4617254.835,653760.8545,20207717.83,8077362.183,5301938.185,4424235.367,111263180.9,154545450.1
Galxe STIP Proposal - Round 1,18836172.43,20352254.94,11263404.88,19194909.89,47965302.94,5544739.923,68631717.07,191788502.1
Gamma STIP Proposal - Round 1,17544404.58,3108770.868,9445561.559,3875454.082,47378587.07,17246359.68,81132634.61,179731772.4
Good Entry STIP Proposal - Round 1,19112391.28,1080028.761,1929061.679,15628913.63,34813496.42,12046712.35,102009411.6,186620015.7
Guru Network STIP Proposal - Round 1,2410278.327,1540494.982,2086599.925,822653.5778,1035396.727,15982215.53,89293985.72,113171624.8
HMX STIP Proposal - Round 1,4997545.216,580867.4803,1584914.565,2160718.14,445743.5206,16732198.28,90264225.42,116766212.6
JOJO Exchange STIP Proposal - Round 1,9426778.948,771485.3273,12095433.49,7250010.324,3893333.207,40986937.66,71506240.32,145930219.3
Jones DAO STIP Proposal - Round 1,44992569.15,32884058.12,38766283.31,5614576.843,444395.3366,22498726.92,58905650.42,204106260.1
KeplerHomes STIP Proposal - Round 1,3125327.967,1592819.524,1416116.516,13167713.71,5089090.057,4188635.577,91150274.33,119729977.7
KyberSwap STIP Proposal - Round 1,3219054.736,5563909.753,1407889.527,18555517.27,26413419.59,48323438.47,73071230.24,176554459.6
LODESTAR FINANCE STIP Proposal - Round 1,18681827.58,4161097.97,24045319.85,22629217.44,2376712.99,23618124.05,96159873.96,191672173.9
LOGX STIP Proposal - Round 1,3108488.579,1576247.892,1417847.785,1561413.039,2658999.443,7134717.414,103010339.4,120468053.6
Lido STIP Proposal - Round 1,20464075.85,5783444.648,4412535.664,11188765.08,17717639.37,22390803.72,118704470.5,200661734.9
MUX Protocol STIP Proposal - Round 1,32964804.56,2531170.044,11067996.4,70607330.21,28310816.31,3755695.725,41069302.3,190307115.5
"Magpie, Penpie, Radpie, Campie STIP Proposal - Round 1",12746454.49,1469713.915,18763080.66,14510927.44,1303317.053,27467068.58,87955872.05,164216434.2
Modular Wallet STIP Proposal - Round 1,2719164.781,1491771.136,1408880.471,818529.4844,13237041.65,7101862.372,85156069.37,111933319.3
NFTEarth STIP Proposal - Round 1,2546643.071,3907273.753,2427830.427,1079692.007,1036020.764,5440086.959,100654209.5,117091756.5
Notional STIP Proposal - Round 1,8408870.917,645183.8856,1409893.486,19967817.9,7615386.141,18882904.59,81040202.35,137970259.3
OmniBTC STIP Proposal - Round 1,4347182.377,1463269.045,624579.0183,2152357.901,12650697.47,10253731.16,82434119.44,113925936.4
OpenOcean STIP Proposal - Round 1,4319804.209,4114641.033,4600411.354,15272310.62,24449114.2,30593139.81,104353674.3,187703095.6
PancakeSwap STIP Proposal - Round 1,8904019.584,3286945.048,12012882.52,4000924.571,18570088.62,28662672.02,82193337.56,157630869.9
Pendle STIP Proposal - Round 1,26759253.71,31621382.15,14181751.84,29763947.12,28064175.49,10626877.3,44933102.37,185950490
Perennial Finance STIP Proposal - Round 1,4655338.202,1475195.14,16197085.2,5490960.014,31932918.33,52530236.75,77215600.96,189497334.6
Premia STIP Proposal - Round 1,23384644.79,4829434.151,23307697.55,1416966.776,49192785.23,6510051.081,60104047.98,168745627.6
Prime Protocol STIP Proposal - Round 1,3669021.485,1597154.181,1414570.113,1571014.547,13252394.81,3958758.552,87149861.78,112612775.5
Procurement Framework | Security : Non-Constitutional Proposal,3095199.585,3040445.033,2482971.412,7183387.457,4699402.931,57567517.09,73950778.58,152019702.1
Proposal to Backfund Successful STIP Proposals,5473901.086,6254966.637,12316121.63,17009051.23,19517480.5,9393913.661,125677167.8,195642602.5
Proposal to onboard Matrixed.Link as a validator for Arbitrum,6566564.302,1533074.19,1923586.275,612989.5754,509666.7458,14184635.94,30251034.94,55581551.96
Proposal: Activate support for account abstraction endpoint on One and Nova,10212298.53,2710639.913,1891145.039,19125068.3,1576366.457,3693775.251,21494948.09,60704241.58
Proposal: Building the Future of NFTs: The Rarible Protocol - Arbitrum Integration Proposal [REVISED],9135912.605,11730414.08,47268866.96,1910206.487,12267748.52,333603.0876,38132091.04,120778842.8
Proposal: Security Council Elections Proposed Implementation Spec,2841456.284,1264023.271,16889511.44,16648895.69,17539154.73,23195680.98,2540925.309,80919647.7
Proposal: Update Security Council Election Start Date to Ensure Time for Security Audit,4092397.741,15227478.47,48832790.88,1815374.529,3082344.426,3780261.659,6718023.125,83548670.83
QiDao STIP Proposal - Round 1,4987404.495,694205.2957,1489910.909,6014093.068,23697170,9146058.938,75449241.83,121478084.5
Quadrat STIP Proposal - Round 1,5381821.438,1012282.666,1467295.764,2577965.891,12630338.73,3142636.882,87652678.68,113865020.1
RADIANT STIP Proposal - Round 1,29106730.97,16972230.82,24944528.05,30320745.55,42965762.45,11786086.93,29414952.41,185511037.2
RAMSES STIP Proposal - Round 1,3750315.926,1548296.211,2353436.781,4465241.993,7406356.968,21876782.96,96646629.72,138047060.6
REALM STIP Proposal - Round 1,35603940.22,16550789.24,5430146.57,14361880.78,440766.7098,4810402.685,58830090.19,136028016.4
RabbitHole STIP Proposal - Round 1,16683590.08,17235071.64,2866530.586,4891584.844,45268938.59,11786795.79,67187658.01,165920169.5
Range Protocol STIP Proposal - Round 1,9856524.8,1579326.515,1417901.25,1557645.65,1822270.27,15021284.16,85749922.36,117004875
Relay Chain: James Bot STIP Proposal - Round 1,3948804.173,1613566.233,492987.141,2936085.124,12636196.82,8205185.454,83585934.73,113418759.7
Rodeo Finance STIP Proposal - Round 1,30460806.48,3182248.625,21451247.35,7662662.009,13912815.96,4728339.064,77010023.53,158408143
Rysk STIP Proposal - Round 1,14522912.43,9384498.423,20047142.39,7160393.981,42773490.94,7154221.117,83449625.37,184492284.7
Sanko GameCorp STIP Proposal - Round 1,5974056.578,676225.6374,6115372.034,2228648.878,34836028.77,10491520.45,114756907.2,175078759.6
Savvy STIP Proposal - Round 1,7566308.706,4766537.201,5697100.138,1291785.683,12617880.21,8773752.764,139877655.7,180591020.4
Shell Protocol STIP Proposal - Round 1,2869669.491,1593591.482,1524529.018,2390436.655,1036322.049,20329657.19,88028409.99,117772615.9
Silo Finance STIP Proposal - Round 1,37155683.6,765926.817,24796978.39,17613778.6,26333912.3,22207475.83,69728997.45,198602753
Socket STIP Proposal - Round 1,42168278.6,24282144.76,25074896.29,30601726.94,19319080.56,6134419.145,50685285.18,198265831.5
Solv Protocol STIP Proposal - Round 1,17195596.21,1459758.9,489229.6056,2152007.992,438366.6724,16011696.58,94613502.38,132360158.3
SpartaDEX STIP Proposal - Round 1,3338223.675,1484191.434,1419903.645,841534.8364,14178471.35,2850169.293,85279464.61,109391958.8
StakeDAO STIP Proposal - Round 1,5039018.115,578789.9878,4303812.404,4885492.724,2972071.621,15197877.98,92849773.53,125826836.4
Stargate Finance STIP Proposal - Round 1,17412746.05,2754927.944,588638.5322,10743118.66,19273697.42,42363958.3,63427322.72,156564409.6
Stella STIP Proposal - Round 1,22393033.16,7250187.495,1409547.234,9989457.958,21964818.07,33953393.51,86785692.85,183746130.3
Synapse Protocol STIP Proposal - Round 1,9777909.696,947466.579,1883981.515,11209599.6,17569381.33,22141899.94,131149857.1,194680095.8
TIDE STIP Proposal - Round 1,16381235.6,4091776.531,1410844.127,915956.3577,13223422.19,8368219.25,88071732.9,132463187
Tales of Elleria STIP Proposal - Round 1,53922954.66,18405792.78,11166272.66,19489790.5,4973461.573,3852794.293,53517418.44,165328484.9
Tally STIP Proposal - Round 1,45837170.59,19785126.78,16106127.11,13713177.52,13275300.83,16668399.25,56221976.79,181607278.9
Thales STIP Proposal - Round 1,10762102.16,6073671.279,22640926.17,21488087.22,7846103.048,14154299.29,71042984.21,154008173.4
Thetanuts STIP Proposal - Round 1,5923776.469,612661.127,1617318.644,3184957.644,20817666.83,22486296.48,98536013.03,153178690.2
Time Management in ArbitrumÃÂÃÂ¢ÃÂÃÂÃÂÃÂs Governance,2128764.043,2804515.883,844341.4084,1231549.661,4941370.341,8039457.45,22156520.83,42146519.62
Timeswap STIP Proposal - Round 1,19411827.82,2246875.194,10170334.81,23828466.23,35848102.39,31408005.54,76543018.13,199456630.1
Trader Joe STIP Proposal - Round 1,26949788.35,7755099.73,26775097.76,26336439.12,36171024.67,4979790.06,64073268.33,193040508
Umami STIP Proposal - Round 1,13430830.98,19784221.45,28159831.21,29098778.11,40245887.96,22839415.85,50381759.48,203940725
UniDex STIP Proposal - Round 1,6913359.092,1357909.574,2045028.239,2318894.716,2193347.546,20188975.39,87505410.18,122522924.7
Vaultka STIP Proposal - Round 1,4001333.787,572762.0057,1464719.039,2581929.788,14240279.3,3162740.732,97697766.88,123721531.5
Vela Exchange STIP Proposal - Round 1,7980024.069,1602769.257,524384.7542,2156431.417,35337025.88,5127776.069,79561059.59,132289471
Vertex Protocol STIP Proposal - Round 1,21606095.06,4042886.604,2555322.435,8561777.592,11542986.82,45209808.62,87365105.4,180883982.5
WINR Protocol STIP Proposal - Round 1,21410356.24,4717048.39,23089483.65,9542024.057,17304915.05,2510943.424,105864855.9,184439626.8
WOOFi STIP Proposal - Round 1,11620561.67,6518390.073,1459821.095,8420220.933,17309382.94,54610276.67,76290687.51,176229340.9
Webacy STIP Proposal - Round 1,4284772.466,2157091.586,1421977.846,1548832.964,14105438.9,1947102.455,90380436.23,115845652.5
Wombat Exchange STIP Proposal - Round 1,5379382.882,3182489.482,1671981.436,3203593.152,13361801.24,2975217.939,87748544.66,117523010.8
Wombex Finance STIP Proposal - Round 1,4865784.265,3975806.606,479528.9773,6354819.61,12633842.27,3163179.274,88541320.42,120014281.4
Wormhole STIP Proposal - Round 1,13203578.63,1464288.095,10883513.18,3074685.055,13537805.63,14347038.56,84813941.46,141324850.6
XY STIP Proposal - Round 1,4122243.653,1492320.093,1402923.338,966844.4382,13242590.6,3765685.74,84830697.05,109823304.9
ZKasino STIP Proposal - Round 1,27769982.59,593232.8869,5917243.084,6118458.806,440704.7331,15794477.76,74011123.92,130645223.8
[Non-Constitutional] Fund the Arbitrum Grants Framework Proposal Milestone 1,24582146.74,1976000.007,1959503.841,692162.5525,12436478.12,20036042.16,39026501.36,100708834.8
[Non-Constitutional]: Arbitrum Stable Treasury Endowment Program,21455049.46,5299347.516,6326225.043,1612161.045,3746900.904,23657749.72,70634716.33,132732150
dForce STIP Proposal - Round 1,5879577.951,6398880.287,14670269.35,5551189.878,13434016.46,6228210.936,87413278.15,139575423
iZUMi STIP Proposal - Round 1,10971807.92,3442907.256,2109820.938,7698911.627,6559648.507,9609896.924,114439659.9,154832653.1
tBTC STIP Proposal - Round 1,4113969.782,1600167.879,497640.1851,2127256.3,13093731.18,8867480.524,80396453.94,110696699.8
unshETH STIP Proposal - Round 1,3190648.823,1491824.8,1513307.179,1108236.249,21143505,5172487.318,86247525.05,119867534.4
